date,ticker,name,sector,P,V,F,G,D,Q,total,veto,dd52,r1y,rg,pg
2022-07-01,002472.SZ,双环传动,robotics,30,9.165790069028693,15.0,15.000000000000002,8,5,82.1657900690287,False,0.012406763155999867,1.4305510913088204,0.37823692379789486,2.1214616347117006
2022-07-01,603986.SH,兆易创新,memory,28,24.175427618805976,15.0,15.0,6,5,93.17542761880597,False,0.377244254417911,-0.037198672286663514,0.7252944372798651,1.6835998636669949
2022-07-01,300223.SZ,北京君正,memory,28,23.263376936553737,15.0,15.0,6,5,92.26337693655374,False,0.4450175464077498,0.05215768682544697,0.7668099906486012,4.728200432460473
2022-07-01,000021.SZ,深科技,memory,28,23.56000250607976,5.0,0.0,6,5,67.56000250607975,False,0.3836951096461185,-0.3554058996095343,0.054362307013095856,-0.1623049131736678
2022-07-01,603259.SH,药明康德,biotech,26,23.8174791735124,14.125,15.0,10,5,93.9424791735124,False,0.3779336553280227,-0.23156579541536082,0.4441868272884437,0.2605964839076862
2022-07-01,600276.SH,恒瑞医药,biotech,26,20.172369015102817,0.0,15.0,10,5,76.17236901510282,True,0.4808249291202876,-0.4787087715313819,-0.16067909662321733,-0.3439409432281716
2022-07-01,688235.SH,百济神州,biotech,26,17.637718738371166,6.0,15.0,10,5,79.63771873837116,False,0.3868487969140396,-0.382964011815507,,
2022-07-01,300454.SZ,深信服,cyber,26,20.901458350465504,9.8,14.999999999999998,9,5,85.7014583504655,False,0.6605043498073968,-0.6033147817803868,0.15404506743074964,
2022-07-01,688561.SH,奇安信,cyber,26,21.634917812526574,10.8,14.999999999999998,9,5,87.43491781252658,False,0.5464902633120996,-0.38969893482132656,0.36902004973114844,
2022-07-01,002439.SZ,启明星辰,cyber,26,23.533216016402523,7.625,14.999999999999998,9,5,86.15821601640252,False,0.45096285643158207,-0.34847989459617934,0.1330152448512396,0.03894358512573515
2022-07-01,300308.SZ,中际旭创,cpo,30,23.659289669926338,11.375,15.0,4,5,89.03428966992634,False,0.2891462140904777,-0.23132047958215773,0.1552517513763576,0.1378026875017091
2022-07-01,300502.SZ,新易盛,cpo,30,23.575815481811095,13.125,15.0,4,5,90.70081548181109,False,0.45514463952105144,-0.2073330728167082,0.284965205237925,0.2445366926075332
2022-07-01,002281.SZ,光迅科技,cpo,30,23.87590010585803,0.0,0.0,4,5,62.87590010585803,False,0.3771422493917729,-0.2853529336055767,-0.019754131865193147,-0.07337579117767323
2022-07-01,600406.SH,国电南瑞,grid,26,16.08422457293323,11.125,15.000000000000002,8,5,81.20922457293324,False,0.27674749875269267,0.43348214092917003,0.09346065691805006,0.16943389270021836
2022-07-01,600089.SH,特变电工,grid,26,10.328731169798404,15.0,15.000000000000002,8,5,79.3287311697984,False,0.028315361823573082,1.5559947513926073,0.5100180773263212,0.9685498189805029
2022-07-01,000400.SZ,许继电气,grid,26,16.87361346747793,3.0,15.000000000000002,8,5,73.87361346747792,False,0.3929169023033484,0.5446857429926288,0.04600998870630102,-0.02342987204640734
2022-07-01,600118.SH,中国卫星,space,26,18.88572293001715,0.0,15.000000000000002,9,5,73.88572293001715,False,0.3308608502156454,-0.3193705801145844,-0.020571707532629047,-0.3772058890280888
2022-07-01,600879.SH,航天电子,space,26,22.941954025883707,7.625,15.000000000000002,9,5,85.5669540258837,False,0.25058014554027785,-0.12179449232613582,0.13578086358852492,0.029828238911604465
2022-07-01,300762.SZ,上海瀚讯,space,26,22.80686357449268,7.375,15.000000000000002,9,5,85.18186357449268,False,0.4964578512527269,-0.3253148308351942,0.02973843228016948,0.13897724230853692
2022-07-01,003816.SZ,中国广核,nuclear,26,20.993398765806347,5.0,15.0,10,5,81.99339876580635,False,0.20000322649771574,0.07304280371964533,0.090890510955147,-0.018651409544842013
2022-07-01,601985.SH,中国核电,nuclear,26,18.842392794613925,14.0,0.0,10,5,73.84239279461393,False,0.18816820647607502,0.4149726299487284,0.18637569683837385,0.35435523863528817
2022-07-01,601611.SH,中国核建,nuclear,26,21.021361411568634,7.625,0.0,10,5,69.64636141156863,False,0.25089236006233606,0.19681725373817271,0.08609190432256963,0.03525135062533136
2022-07-01,600893.SH,航发动力,defense,26,18.54848630825883,11.375,14.999999999999998,9,5,84.92348630825883,False,0.3329217205268795,-0.09920053591272426,0.23638787552032858,0.114503897559878
2022-07-01,600760.SH,中航沈飞,defense,26,18.30336864009861,15.0,14.999999999999998,9,5,88.30336864009861,False,0.2577000480894631,0.12517655792683025,0.3173708335758787,0.5170999342911917
2022-07-01,002179.SZ,中航光电,defense,26,15.110011245724728,9.375,14.999999999999998,9,5,79.48501124572472,False,0.13672397905870715,0.2319101752129371,0.13080496785411966,0.10749293783125591
2022-08-01,300124.SZ,汇川技术,robotics,30,21.41255769887793,15.0,15.000000000000002,8,5,94.41255769887793,False,0.24157628270830567,-0.07958860290437397,0.44348302637138426,0.4159388087139151
2022-08-01,002747.SZ,埃斯顿,robotics,30,19.882127868528162,7.625,15.000000000000002,8,5,85.50712786852816,False,0.30327688941691866,-0.25580580735135205,0.09328662417807698,0.017598883558254785
2022-08-01,002472.SZ,双环传动,robotics,30,8.115384615384615,15.0,15.000000000000002,8,5,81.11538461538461,False,0.0,1.1941837693746526,0.3782548878290397,2.1214656002672845
2022-08-01,603986.SH,兆易创新,memory,28,23.736756366402826,15.0,15.0,6,5,92.73675636640283,False,0.4820794901030596,-0.2888828290755917,0.7252951140272252,1.6836013884804615
2022-08-01,300223.SZ,北京君正,memory,28,22.483014563247735,15.0,15.0,6,5,91.48301456324774,False,0.5357477470655354,-0.23767697134924326,0.7668052897756796,4.728194086638198
2022-08-01,000021.SZ,深科技,memory,28,23.0145726880962,5.0,0.0,6,5,67.0145726880962,False,0.3553034226557741,-0.3064904304871743,0.054392211369933996,-0.16230542074803767
2022-08-01,603259.SH,药明康德,biotech,26,24.3722022306387,15.0,15.0,10,5,95.37220223063869,False,0.44078480855571067,-0.43146996111182323,0.6461536697659567,0.697810157585778
2022-08-01,600276.SH,恒瑞医药,biotech,26,21.446391837349353,0.0,15.0,10,5,77.44639183734935,True,0.4392576381938038,-0.41052122343319597,-0.1606838196992315,-0.34394057871857453
2022-08-01,688235.SH,百济神州,biotech,26,18.252312304462283,6.0,15.0,10,5,80.25231230446228,False,0.380860369519076,-0.37693764312092504,,
2022-08-01,300454.SZ,深信服,cyber,26,21.03683147843862,9.8,14.999999999999998,9,5,85.83683147843863,False,0.6676337043122753,-0.6618021051800165,0.15405870539090283,
2022-08-01,688561.SH,奇安信,cyber,26,21.87922212409965,10.8,14.999999999999998,9,5,87.67922212409965,False,0.5552063299380723,-0.5552063299380723,0.3690135338165619,
2022-08-01,002439.SZ,启明星辰,cyber,26,23.082376429888757,7.625,14.999999999999998,9,5,85.70737642988875,False,0.491223369940642,-0.3600628081435969,0.13300557724064155,0.03894498564518245
2022-08-01,300308.SZ,中际旭创,cpo,30,22.547584284429867,11.375,15.0,4,5,87.92258428442986,False,0.24930971049426875,0.009794608755347989,0.15524196148250513,0.13780300285742553
2022-08-01,300502.SZ,新易盛,cpo,30,23.32623386897972,13.125,15.0,4,5,90.45123386897973,False,0.4773963745466512,-0.284935947473412,0.2849653837060837,0.24453977062847265
2022-08-01,002281.SZ,光迅科技,cpo,30,23.559196824722072,0.0,0.0,4,5,62.55919682472207,False,0.36970173375425874,-0.26171737853795163,-0.01980086829175276,-0.07337691985479045
2022-08-01,600406.SH,国电南瑞,grid,26,14.523279295167908,11.125,15.000000000000002,8,5,79.64827929516791,False,0.21835357054243187,0.3692425683062144,0.09343691088877493,0.1694339862540024
